013	'nYl-dEr-tin
alineaatje	a-'li-ni-ja-tj@
all	'Al
alle	'A-l@
allebei	A-l@-'bE+
alleen	A-'len
alleenstaand	A-'len-stant
allem-	'A-l@m
allemaal	A-l@-'mal
allemaal-allemaal	'A-l@-mal-A-l@-mal
allem-allemaal	'A-l@m-A-l@-mal
allen	'A-l@
allerlei	A-l@r-'lE+
allerslechtste	A-l@r-'slExt-st@
alles	'A-l@s
allez	'A-le
allicht	A-'lIxt
als	'Als
alsnog	Als-'nOx
also-	'Al-so
alsof	Als-'Of
alt	'Alt
alternatief	Al-t@r-na-'tif
althans	Al-'tAns
altijd	Al-'tE+t
alumnivereniging	'a-lYm-ni-v@-re-nI-GIN
alv	'a-El-ve
alvast	Al-'vAst
alweer	Al-'wer
am	'am
am-	'Am
ambacht	'Am-bAxt
amena	A-'me-na
amerika	a-'me-ri-ka
a-merken	'a-mEr-k@n
amro	'Am-ro
amsterdam	'Am-st@r-dAm
analyse	a-na-'li-z@
analyseren	a-na-li-'ze-r@
and	'Ant
ande-	'An-d@
ander	'An-d@r
anderdaad	'An-d@r-dat
andere	'An-d@-r@
anderen	'An-d@-r@
anderhalf	'An-d@r-hAlf
anderhalve	'An-d@r-hAl-v@
anders	'An-d@rs
andersom	'An-d@r-sOm
anderzijds	'An-d@r-zE+ts
angela	'A-N@-la
angst	'ANst
anna	'A-na
annastraa	'A-nA-strat
anne	'A-E:@
annemarie	A-E:e-ma-'ri
anno	'A-no
anouk	A-'n2k
anti	'An-ti
antwerpen	'Ant-wEr-p@
antwoord	'Ant-wort
antwoorden	'Ant-wor-d@
aoki-achtig	a-'o-ki-ax-t@x
aorta	a-'Or-ta
ap	'a-pe
ap-	'Ap
apart	a-'pArt
aparte	a-'pAr-t@
apen	'a-p@
app	'Ep
apparaat	A-pa-'rat
apparaatje	A-pa-'rat-j@
apparaatjes	A-pa-'rat-j@s
apparaten	A-pa-'ra-t@
apparatuur	A-pa-ra-'tyr
apple	'a-p@l
apps	'Eps
arabistiek	a-rA-bIs-'tik
arbeid	'Ar-bE+t
arbitrair	Ar-bi-'trE:r
archief	Ar-'xif
architectuurstijl	'ar-Si-tek-tyr-stE+l
arena	a-'re-na
arends	'a-r@nts
argo	'Ar-Go
argument	'Ar-Gy-mEnt
argwaan	'ArG-wan
ariÃ«n	ari@n
ariÃ«ns	ari@ns
ariën	'a-ri-@n
ariëns	'a-ri-@ns
aristoteles	'a-rIs-to-te-l@s
arjan	'ar-jAn
arjen	'Ar-j@
armen	'Ar-m@
arn-	'Arn
arnhem	'Ar-nEm
arnoud	'Ar-nA+t
arnouds	'Ar-nA+ds
artikel	Ar-'ti-k@l
artikelen	Ar-'ti-k@-l@
artikeltje	Ar-'ti-k@l-tj@
asa	'a-sa
asked	'askt
asociaal	a-so-'Sal
asociale	a-so-'Sa-l@
asserties	A-'sEr-tsIs
assertions	A-'s@r-sjYns
assignments	A-'sAjn-m@nts
assistenten	A-si-'stEn-t@
associatie	A-so-'Sa-tsi
aten	'a-t@
attaratuur	A-tA-ra-'tyr
au	'A+
au-	'A+
augustus	A+-'GYs-tYs
autistisch	A+-'tIs-tis
auto	'A+-to
autocue	'A+-to-kyw
automaten	A+-to-'ma-t@
automatisch	A+-to-'ma-tis
autorai	'A+-to-rAj
avans	'A-vAns
aversie	a-'vEr-zi
avond	'a-vOnt
avondje	'a-vOnt-j@
avonds	'a-vOnts
awkward	'aw-kwArd
ayla	'Aj-la
azië	'a-zi
aziatische	a-zi-'ja-ti-s@
aziÃ«	azi
b	'be
baan	'ban
baantje	'ban-tj@
baantjes	'ban-tj@s
baard	'bart
baas	'bas
babbe	bA-b@
babbelen	'bA-b@-l@
bachelor	'bA-S@-l@r
bachelor-uitreiking	'bAt-S@-l@r-Y+t-rE+-kIN
backgammon	bEg-'xA-mOn
bah	'bA
bahaviour	bE-'+v-jyr
bak	'bAk
bakel	'ba-k@l
bakken	'bA-k@
bakker	'bA-k@r
bakkertjes	'bA-k@r-tj@s
balans	ba-'lAns
balansding	bA-'lAns-dIN
balaton	'bA-lA-tOn
balen	'ba-l@
balken	'bAl-k@
balkje	'bAlk-j@
balkon	bAl-'kOn
balkonbak	bAl-'kOn-bAk
balletje	'bA-l@-tj@
bam	'bam
ban	'bAn
banaantjes	bA-'nan-tj@s
bananasplit	ba-'na-na-splIt
bananen	ba-'na-n@
bananenplant	bA-'na-n@n-plAnt
band	'bEnt
bandje	'bAnt-j@
bandjes	'bAnt-j@s
bands	'bEnts
banen	'ba-n@
bang	'bAN
bank	'bANk
banken	'bAN-k@
bar	'bAr
barbecue	'bAr-b@-kjuw
barbecueÃ«n	bArb@kjuw@n
barbecueën	'bAr-b@-kju-w@n
barbecuetje	'bAr-b@-kjuw-tj@
barbie	'bAr-bi
barokstijl-achtige	bA-'rOk-stE+l-Ax-t@-x@
barrels	'bE-r@ls
bart	'bArt
barts	'bArts
bas	'bAs
baseert	ba-'zert
basis	'ba-z@s
basisschoolniveau	'ba-sIs-sxol-nI-vo
basterd	'bAs-t@rt
bauer	'bA+-w@r
bavaria	ba-'va-ri-ja
b-beetje	b-'be-tj@
b-beide	b-'bE+-d@
b-bekende	b-b@-'kEn-d@
b-bepaalde	b-b@-'pal-d@
b-bijna	b-'bE+-na
bdo	'be-de-o
be	'b@
be-	'b@
beantwoorden	b@-'Ant-wor-d@
beargumenteerd	be-jAr-Gy-mEn-'tert
bebob	'bi-bOp
bed	'bEt
beda-	'bE-dA
bedacht	b@-'dAxt
bedankt	b@-'dANkt
bede	'be-d@
bede-	'b@-dE
bedenk	b@-'dENk
bedenkelijk	b@-'dEN-k@-l@k
bedenken	b@-'dEN-k@
bedoel	b@-'dul
bedoelde	b@-'dul-d@
bedoeling	b@-'du-lIN
bedoelt	b@-'dult
bedrag	b@-'drAx
bedrijf	b@-'drE+f
bedrijfskunde	b@-'drE+fs-kYn-d@
bedrijfswaarde	b@-'drE+fs-war-d@
bedrijven	b@-'drE+-v@
bedroevend	b@-'dru-v@nt
beeld	'belt
beelden	'bel-d@
beeldscherm	'belt-sxErm
beeldschoon	'belt-sxon
beelen	'be-l@n
beest	'best
beesten	'bes-t@
beet	'bet
beetje	'bet-j@
beetje-beetje	'be-tj@-be-tj@
beg-	'b@G
begin	b@-'GIn
beginnen	b@-'GI-n@
begint	b@-'GInt
begintijd	b@-'GIn-tE+t
begon	b@-'GOn
begonnen	b@-'GO-n@
begrafenis	b@-'Gra-f@-nIs
begreep	b@-'Grep
begrijp	b@-'GrE+p
begrijpen	b@-'GrE+-p@
beh	'be
beh-	'b@
behalen	b@-'ha-l@
behalve	b@-'hAl-v@
behang	b@-'hAN
beheerder	b@-'her-d@r
behoorlijk	b@-'hor-l@k
behoren	b@-'ho-r@
beide	'bE+-d@
beiden	'bE+-d@
bejaarden	b@-'jar-d@
bek	'bEk
bekend	b@-'kEnt
bekenden	b@-'kEn-d@
bekender	b@-'kEn-d@r
bekijken	b@-'kE+-k@
bekt	'bEkt
bekte	'bEk-t@
bel	'bEl
belachelijk	b@-'lA-x@-l@k
belanden	b@-'lAn-d@
belangrijk	b@-'lAN-rE+k
belangrijke	b@-'lAN-rE+-k@
belangrijker	b@-'lAN-rE+-k@r
belangrijks	b@-'lAN-rE+ks
belangrijkste	b@-'lAN-rE+k-st@
belangstelling	b@-'lAN-stE-lIN
belde	'bEl-d@
belgrado	'bEl-Gra-do
bellen	'bE-l@
belletje	'bE-l@-tj@
bemmel	'bE-m@l
ben	'bEn
benadeeld	b@-'na-delt
benaderen	b@-'na-d@-r@
benadrukt	b@-'na-drYkt
benauwd	b@-'nA+wt
beneden	b@-'ne-d@
benen	'be-n@
benie-	'b@-ni
benieuwd	b@-'niwt
bent	'bEnt
bepaald	b@-'palt
bepaald-	'b@-palt
bepaalde	b@-'pal-d@
bepakking	b@-'pA-kIN
bepalen	b@-'pa-l@
beperkt	b@-'pErkt
ber	'bEr
bereid	b@-'rE+t
bereik	b@-'rE+k
bereiken	b@-'rE+-k@
bereklauw	'be-r@-klA+w
überhaupt	y-b@r-'hA+pt
berichtje	b@-'rIxt-j@
berlijn	'bEr-lE+n
beroep	b@-'rup
beroepsorganisatie	b@-'rups-Or-Ga-ni-za-tsi
beroerd	b@-'rurt
bert	'bErt
bes	'bEs
bes-	'b@s
beschaafde	b@-'sxav-d@
beschikbaar	b@-'sxIg-bar
beschou-	b@-'sxA+
beschouw	b@-'sxA+w
beschrijft	b@-'sxrE+ft
beschrijving	b@-'sxrE+-vIN
besef	b@-'sEf
besloten	b@-'slo-t@
besluiten	b@-'slY+-t@
bespreken	b@-'spre-k@
besproken	b@-'spro-k@
best	'bEst
bestaan	b@-'stan
bestaansrecht	b@-'stans-rExt
bestaat	b@-'stat
bestand	b@-'stAnt
beste	'bEs-t@
besteden	b@-'ste-d@
bestek	b@-'stEk
besteld	b@-'stElt
bestellen	b@-'stE-l@
bestond	b@-'stOnt
bestu-	'b@-sty
besturen	b@-'sty-r@
bestuur	b@-'styr
bestuurs	b@-'styrs
bestuursfunctie	b@-'styrs-fYNk-si
bestuursjack	b@-'styrs-jEk
bestuursjassen	b@-'styrs-jA-s@n
bestuurskamer	b@-'styrs-ka-m@r
bestuursleden	b@-'styrs-le-d@
bestuurslid	b@-'styrs-lIt
bestuurspak	b@-'styrs-pAk
bestuursshirts	b@-'styrs-S2rts
betaal	b@-'tal
betaald	b@-'talt
betaalt	b@-'talt
betalen	b@-'ta-l@
betekenis	b@-'te-k@-nIs
beter	'be-t@r
betere	'be-t@-r@
beteren	'be-t@-r@
beton	b@-'tOn
betonblokken	b@-'tOm-blO-k@
betonboor	b@-'tOn-bor
betreft	b@-'trEft
beuk	'b2k
beurswaarde	'b2rs-war-d@
beurt	'b2rt
beurzen	'b2r-z@
bev-	'bEv
bevallen	b@-'vA-l@
bevalt	b@-'vAlt
beveiliging	b@-'vE+-l@-GIN
bevers	'be-v@rs
beverwijk	'be-v@r-wE+k
bevestigt	b@-'vEs-t@xt
bewaar	b@-'war
bewegen	b@-'we-G@
beweging	b@-'we-GIN
bewegingen	b@-'we-GI-N@
bewindspersoon	b@-'wInts-p@r-son
bewust	b@-'wYst
bezet	b@-'zEt
bezetting	b@-'zE-tIN
bezig	'be-z@x
bezigheid	'be-z@x-hE+t
bezinning	b@-'zI-nIN
bezuinig	b@-'zY+-nIG
bezwaar	b@-'zwar
bezwaren	b@-'zwa-r@
b-heeft	b-'heft
bibliotheek	bi-bli-jo-'tek
bibliotheken	bi-bli-jo-'te-k@
bieb	'bip
biebpas	'bi-pAs
bier	'bir
bierbrouwerij	bir-brA+-w@-'rE+
biertje	'bir-tj@
biertjes	'bir-tj@s
bietsen	'bit-s@
big	'bIx
bij	'bE+
bijbel	'bE+-b@l
bij-bij	'bE+-bE+
bijgeleend	bE+-G@-lent
bijgepraat	'bE+-G@-prat
bijl	'bE+l
bijl-	'bE+l
bijlenen	'bE+-le-n@n
bijna	'bE+-na
bijsterhuizen	'bE+s-t@r-hY+-z@
bijten	'bE+-t@
bijv-	'bE+v
bijvoorb-	'bE+-vor-b
bijvoorbeeld	bE+-'vor-belt
bijwerken	'bE+-wEr-k@
bijzonder	bi-'zOn-d@r
billetjes	'bI-l@-tj@s
binnen	'bI-n@
binnenhof	'bI-n@-hOf
binnenkort	bI-n@-'kOrt
binnenstad	'bI-n@-stAt
biologen	bi-jo-'lo-G@
biologie	bi-jo-lo-'Gi
bioscoop	bi-jO-'skop
bioskooplijn	bi-Os-'kop-lE+n
bitches	'bI-tS@s
bitter	'bI-t@r
bitterballen	'bI-t@r-bA-l@
bizar	bi-'zAr
bl-	'bl
blaadjes	'blat-j@s
blaaskaak	'blas-kak
blablabla	'bla-bla-bla
blablablabla	'bla-bla-bla-bla
bladeren	'bla-d@-r@
blauwe	'blA+-w@
blblbl	'bl-bl-bl
bleef	'blef
bleek	'blek
blessures	'blE-s@-r@s
bleven	'ble-v@
blij	'blE+
blijf	'blE+f
blijft	'blE+ft
blijkbaar	'blE+g-bar
blijven	'blE+-v@
blik	'blIk
blikjes	'blIk-j@s
blikken	'blI-k@
bliss	'blIs
bloed	'blut
bloes	'blus
bloesje	'blus-j@
blok	'blOk
blokhuis	'blOk-hY+s
blokkade	blO-'ka-d@
blokken	'blO-k@
-blokken	'blO-k@n
blonde	'blOn-d@
blote	'blo-t@
blowen	'blo-w@
bluh	'bl2h
bmw	be-Em-'we
bn	be-'En
bo	'bo
bo-	'bo
bob	'bOp
bocht	'bOxt
boeiend	'bu-j@nt
boek	'buk
boeken	'bu-k@
boekje	'buk-j@
boekt	'bukt
boete	'bu-t@
bof	'bOf
boksen	'bOk-s@
bolletje	'bO-l@-tj@
bomen	'bo-m@
bonus	'bo-nYs
boom	'bom
boor	'bor
boorden	'bor-d@
boorm	'borm
boos	'bos
boothuis	'bot-hY+s
borden	'bOr-d@
bordje	'bOrt-j@
boren	'bo-r@
borrel	'bO-r@l
borrelen	'bO-r@-l@
borrelkamer	'bO-r@l-ka-m@r
borrelruimte	'bOr-@l-rY+m-t@
borsato	bOr-'zA-to
borst	'bOrst
borstcrawl	'bOrst-krO:l
borstel	'bOr-st@l
bos	'bOs
bosch	'bOs
bosjes	'bOs-j@s
boterhammen	'bo-t@r-hA-m@
botste	'bOts-t@
bouw	'bA+w
bouwen	'bA+-w@
bouwt	'bA+wt
bouwvakkers	'bA+w-vA-k@rs
boven	'bo-v@
bovenaan	bo-v@-'an
bovendien	bo-v@-'din
bovenin	bo-v@-'In
bovenk-	'bo-v@n-k
bovenste	'bo-v@ns-t@
bowlen	'bo-l@
boy	'bOj
boycot	'bOj-kOt
br-	'br
brabanders	'bra-bAn-d@rs
brabants	'bra-bAnts
bra-brabanders	bra-'bra-bAn-d@rs
brand	'brAnt
branden	'brAn-d@
brandpunt	'brAnt-pYnt
breda	bre-'da
breed	'bret
breekt	'brekt
breezer	'brej-z@r
brengen	'brE-N@
brengt	'brENt
bres	'brEs
briefje	'brif-j@
bril	'brIl
brix	'brIks
broek	'bruk
broer	'brur
broers	'brurs
broertje	'brur-tj@
brommer	'brO-m@r
brood	'brot
brother	'bro-t@r
brutus	'bry-tYs
b-side	bi-'sAjd
bucket	'bY-k@t
bui	'bY+
buienradar	'bY+-@n-ra-dar
buis	'bY+s
buiten	'bY+-t@
buitenland	'bY+-t@-lAnt
buitenlandse	'bY+-t@-lAnt-s@
buitenwereld	'bY+-t@-we-r@lt
buizensysteem	'bY+-z@n-si-stem
bukken	'bY-k@
bull	'bYl
bullshit	'bul-SIt
bureau	by-'ro
bureaus	by-'ros
burger	'bYr-G@r
bus	'bYs
bush	'bYS
business	'bIs-nIs
bussen	'bY-s@
buurt	'byrt
buurtje	'byr-tj@
bv	'be-ve
bv-	'bv
b-volgens	b-'vOl-G@ns
bw	'be-we
bw-	'bw
bwij	'bwE+
ca	se-'a
ca-	'kA
cabin	'kA-bIn
cabine	ka-'bi-n@
cadeau	ka-'do
cadeaus	ka-'dos
cadeautje	ka-'do-tj@
cafÃ©	ka-'fe
cafeetje	ka-'fe-tj@
cafÃ©s	ka-'fes
cafetaria	ka-fe-'ta-ri-ja
calorieÃ«n	ka-lo-'ri-j@
calvin	'kAl-vIn
camping	'kEm-pIN
campingterreit	'kAm-pIN-tE-rE+t
campus	'kAm-pYs
canceling	'kAn-s@-lIN
cardio	'kAr-di-o
cardiodingen	'kAr-di-o-dI-N@n
carnaval	'kAr-na-vAl
carnavalsvakantie	'kAr-na-vals-vA-kAn-tsi
carrey	'kE-rI
casus	'ka-zYs
casussen	'ka-zY-s@
casus-specifiek	'ka-sYs-spe-si-fik
catalogus	kA-'ta-lo-GYs
catchier	kE-'tSi@r
catharijne	kA-ta-'rE+-n@
c-co-schappers	k-'ko-sxa-p@rs
cd	se-'de
cda	se-de-'a
cd's	se-'des
censuur	sEn-'syr
cent	'sEnt
centen	'sEn-t@
centraal	sEn-'tral
central	'sEn-trAl
centrale	sEn-'tra-l@
centrum	'sEn-trYm
cÃ©zanne	s@zAn@
ch-	'tS
chagrijnig	SA-'GrE+-n@x
chaos	'xa-Os
chapman	'tSEp-mEn
charisma	xa-'rIs-ma
charismatisch	xa-rIs-'ma-tis
chauffeur	So-'f2r
cheap	'ip
cheaper	'tSi-p@r
checken	'tSE-k@
chemie-pack	xe-'mi-pAk
chemisch	'xe-mis
chicky	'tSI-kI
chill	'tSIl
chille	'tSI-l@
chillen	'tSI-l@n
chiller	'tSI-l@r
chrissy	'kr@-si
christelijke	'krIs-t@-l@-k@
christian	'krIs-ti-jAn
chronologisch	xro-no-'lo-Gis
chroomlaag	'Grom-laG
cht	se-ha-'te
-cht	'xt
cijfer	'sE+-f@r
circuit	sIr-'kwi
cirkeltje	'sIr-k@l-tj@
citroen	si-'trun
civil	si-'vIl
clichÃ©matig	kliSemat@x
clichématig	kli-Se-'ma-t@x
club	'klYp
co	'ko
co-	'ko
co-auteur	'ko-A+-t2r
cock	'kOk
coco	'ko-ko
coen	'kun
colbert	kOl-'bE~r
colbertje	kOl-'bE:r-j@
college	kO-'le-Z@
collegegeldkrediet	kO-'le-S@-GEld-kr@-dit
colleges	kO-'le-Z@s
collegezaal	kO-'le-Z@-zal
comedy	'kO-m@-di
comments	'kO-m@nts
commissaris	kO-mI-'sa-r@s
commissie	kO-'mI-si
commissies	kO-'mI-sis
communicatie	kO-my-ni-'kat-si
communicatieblokjes	kO-my-ni-'kA-tsi-blOk-j@s
communicatieprofiel	kO-my-ni-'kA-tsi-prO-fil
communicatievaardig-	kO-my-ni-'kA-tsi-var-d@x
communicatiewetenschappen	kO-my-ni-'ka-tsi-we-t@-sxA-p@
communisme	kO-my-'nIs-m@
communisten	kO-my-'nIs-t@
competitie	kOm-p@-'ti-tsi
compleet	kOm-'plet
completeness	kOm-'plit-n@s
complexere	kOm-'plEk-s@-r@
compliment	kOm-pli-'mEnt
comporoeien	'kOm-po-ru-j@n
comporoeiers	'kOm-po-ru-j@rs
comporoeit	'kOm-po-rujt
compo's	'kOm-pos
computer	kOm-'pju-t@r
con	'kOn
con-	'kOn
concentratie	kOn-sEn-'tra-tsi
concept	kOn-'sEpt
concert	kOn-'sErt
concurrent	kON-ky-'rEnt
condoom	kOn-'dom
condooms	kOn-'doms
conferentie	kOn-f@-'rEn-si
conferenties	kOn-f@-'rEn-sis
conflict	kOn-'flIkt
congres	kON-'GrEs
connecties	kO-'nEk-sis
consequente	kOn-s@-'kwEn-t@
consequentialisme	'kOn-sE-kwEn-tsia-lIs-m@
consequenties	kOn-s@-'kwEn-sis
conspiraty	kOn-'spI-ra-ti
constant	kOn-'stAnt
constructie	kOn-'strYk-si
consultancy	kOn-'zYl-t@n-si
contact	kOn-'tAkt
contacten	kOn-'tAk-t@
context	'kOn-tEkst
contracten	kOn-'trAk-t@
contractje	kOn-'trAk-tj@
contributie	kOn-tri-'by-tsi
control	k@n-'trol
controle	kOn-'trO:-l@
controleer	kOn-tro-'ler
controleert	kOn-tro-'lert
controlegroep	kOn-'trO:-l@-Grup
controleren	kOn-tro-'le-r@
controller	kOn-'trO-l@r
cool	'kowl
coop	'kop
coÃ¶rdineer	ko-wOr-di-'ner
corina	ko-'ri-na
corine	ko-'ri-n@
correlaties	kO-r@-'la-tsis
correspent	kO-r@-'spEnt
correspondent	kO-r@-spOn-'dEnt
correspondent-dingen	kO-r@-spOn-'dEnt-dI-N@n
corton	kOr-'tO~
co-tolerant	'ko-tO-l@-rAnt
courant	ku-'rAnt
crashen	'krE-S@
creatief	kre-ja-'tif
creÃ«ert	kre-'jert
creepy	'kre-pi
creÃ«ren	kre-'je-r@
crimes	'krAjms
criminaliteit	kri-mi-na-li-'tE+t
criteria	kri-'te-ri-ja
cruise	'krus
cultheld	'kYlt-hElt
cultureel	kYl-ty-'rel
cultuur	kYl-'tyr
currysaus	'kY-ri-sA+s
cv	se-'ve
cézanne	s@-'zA-n@
d	de
d66	'de-zE-s@-zEs-t@x
da	'da
da-	'da
daan	'dan
daar	'dar
daarachter	dar-'Ax-t@r
daarbij	'dar-bE+
daarbinnen	dar-'bI-n@
daardoor	dar-'dor
daarentegen	dar-@n-'te-G@
daarheen	'dar-hen
daarmee	dar-'me
daarna	dar-'na
daarnaartoe	dar-nar-'tu
daarnaast	dar-'nast
daarom	'dar-Om
daaromheen	dar-Om-'hen
daaronder	dar-'On-d@r
daarop	dar-'Op
daarover	dar-'o-v@r
daaruit	dar-'Y+t
daarvan	dar-'vAn
daarvoor	dar-'vor
dacht	'dAxt
dachten	'dAx-t@
dada	'da-da
da-da-	'dA-dA
da-daan	da-'dan
da-dan	dA-'dAn
da-das	dA-'dAs
da-dat	dA-'dAt
da-dat-dat	dA-'dAt-dAt
dadelijk	'da-d@-l@k
dag	'dAx
dagblad	'dAG-blAt
dagboek	'dAG-buk
dagen	'da-G@
dagje	'dAx-j@
dahar	'da-har
da-je	'dA-j@
dak	'dAk
dakterras	'dAk-tE-rAs
damn	'dAm
dan	'dAn
dance	'dans@
dancing	'dEn-sIN
dan-dan	'dAn-dAn
daniÃ«l	dan@l
daniël	'da-n@l
dank	'dANk
dann	'dan
dan-n	'dAn-n
dansen	'dAn-s@
das	'dAs
das-	'dAs
dassen	'dA-s@
dat	'dAt
dat-	'dAt
data	'da-ta
data-analyse	'da-ta-A-na-li-s@
dat-dat	'dAt-dAt
date	'dat@
dat-t	'dAt-t
datum	'da-tYm
datumprikkers	'da-tYm-prI-k@rs
dave	'dav@
dd	'de-de
d-d	d-d
d-daar	d-'dar
d-daartussenin	d-dar-tY-s@n-'In
d-dacht	d-'dAxt
d-dan	d-'dAn
d-dat	d-'dAt
d-d-d-	d-d-d
d-d-d-d-	d-d-d-d
dde	de-'dee
d-de	d-'d@
d-die	d-'di
d-dit	d-'dIt
d-dus	d-'dYs
de	'd@
de-	'd@
deadline	'dEd-lAjn
deal	'dil
debat	d@-'bAt
debiel	d@-'bil
decadent	de-ka-'dEnt
december	de-'sEm-b@r
de-de	'd@-d@
de-december	de-de-'sEm-b@r
